Region,Codigo region,Publicacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21
Los Ríos,14,2020-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Los Lagos,10,2020-05-22,0,0,0,0,9,10,1,1,0,0,0,0,0.0,0.0,0.0
Aysén,11,2020-05-22,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
Magallanes,12,2020-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Arica y Parinacota,15,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tarapacá,01,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Antofagasta,02,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Atacama,03,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Coquimbo,04,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Valparaíso,05,2020-05-04,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
Metropolitana,13,2020-05-04,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0
O’Higgins,06,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Maule,07,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ñuble,16,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Biobío,08,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Araucanía,09,2020-05-04,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0
Los Ríos,14,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Los Lagos,10,2020-05-04,0,0,0,0,9,10,1,1,0,0,0,0,0.0,0.0,0.0
Aysén,11,2020-05-04,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
Magallanes,12,2020-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Arica y Parinacota,15,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tarapacá,01,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Antofagasta,02,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Atacama,03,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Coquimbo,04,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Valparaíso,05,2020-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
Metropolitana,13,2020-05-01,0,0,0,0,0,0,0,0,0,1,2,1,0.0,0.0,0.0
O’Higgins,06,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Maule,07,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ñuble,16,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Biobío,08,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Araucanía,09,2020-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0
Los Ríos,14,2020-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Los Lagos,10,2020-05-01,0,0,0,0,9,10,1,1,0,0,0,0,0.0,0.0,0.0
Aysén,11,2020-05-01,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
Magallanes,12,2020-05-01,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0
Arica y Parinacota,15,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tarapacá,01,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Antofagasta,02,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Atacama,03,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Coquimbo,04,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Valparaíso,05,2020-05-18,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0
Metropolitana,13,2020-05-18,0,0,0,0,0,0,0,0,0,1,1,2,1.0,0.0,0.0
O’Higgins,06,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Maule,07,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ñuble,16,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Biobío,08,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Araucanía,09,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Los Ríos,14,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Los Lagos,10,2020-05-18,0,0,0,0,9,10,1,1,0,0,0,0,0.0,0.0,0.0
Aysén,11,2020-05-18,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
Magallanes,12,2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
