Region,Comuna,Poblacion,Casos Confirmados
Del Libertador General Bernardo OHiggins,Pumanque,3531,-
Del Libertador General Bernardo OHiggins,Quinta de Tilcoco,13877,-
Del Libertador General Bernardo OHiggins,Rancagua,265211,9
Del Libertador General Bernardo OHiggins,Rengo,63710,-
Del Libertador General Bernardo OHiggins,Requinoa,30371,-
Del Libertador General Bernardo OHiggins,San Fernando,78642,4
Del Libertador General Bernardo OHiggins,San Vicente,50617,4
Del Libertador General Bernardo OHiggins,Santa Cruz,41096,-
Maule,Cauquenes,44143,-
Maule,Chanco,9331,-
Maule,Colbun,22565,4
Maule,Constitucion,50348,-
Maule,Curepto,9426,-
Maule,Curico,163626,11
Maule,Empedrado,4206,-
Maule,Hualane,10222,-
Maule,Licanten,6989,-
Maule,Linares,101073,10
Maule,Longavi,32810,-
Maule,Maule,60000,-
Maule,Molina,49800,-
Maule,Parral,44544,-
Maule,Pelarco,9083,-
Maule,Pelluhue,8092,-
Maule,Pencahue,8601,-
Maule,Rauco,11248,-
Maule,Retiro,21071,-
Maule,Rio Claro,14753,-
Maule,Romeral,16170,-
Maule,Sagrada Familia,19469,-
Maule,San Clemente,46292,-
Maule,San Javier,49451,-
Maule,San Rafael,9959,-
Maule,Talca,236724,42
Maule,Teno,30850,-
Maule,Vichuquen,4381,-
Maule,Villa Alegre,17512,-
Maule,Yerbas Buenas,19200,-
Nuble,Bulnes,22607,32
Nuble,Chillan,198624,240
Nuble,Chillan Viejo,33827,26
Nuble,Cobquecura,5275,-
Nuble,Coelemu,16845,-
Nuble,Coihueco,28375,-
Nuble,El Carmen,12334,-
Nuble,Ninhue,5414,-
Nuble,Niquen,11567,-
Nuble,Pemuco,8639,-
Nuble,Pinto,11880,6
Nuble,Portezuelo,4940,-
Nuble,Quillon,18777,15
Nuble,Quirihue,12192,-
Nuble,Ranquil,6261,5
Nuble,San Carlos,56252,13
Nuble,San Fabian,4654,6
Nuble,San Ignacio,16624,-
Nuble,San Nicolas,12172,4
Nuble,Treguaco,5696,-
Nuble,Yungay,18596,10
Biobio,Alto Biobio,6775,-
Biobio,Antuco,4306,-
Biobio,Arauco,38679,6
Biobio,Cabrero,30725,-
Biobio,Canete,37003,-
Biobio,Chiguayante,91180,26
Biobio,Concepcion,238092,53
Biobio,Contulmo,6330,-
Biobio,Coronel,125829,12
Biobio,Curanilahue,33892,-
Biobio,Florida,11841,-
Biobio,Hualpen,97273,50
Biobio,Hualqui,26201,-
Biobio,Laja,23873,-
Biobio,Lebu,27100,-
Biobio,Los Alamos,22524,-
Biobio,Los Angeles,218515,12
Biobio,Lota,45750,-
Biobio,Mulchen,31041,5
Biobio,Nacimiento,27944,-
Biobio,Negrete,10429,-
Biobio,Penco,49865,-
Biobio,Quilaco,4179,-
Biobio,Quilleco,10032,-
Biobio,San Pedro de la Paz,145906,56
Biobio,San Rosendo,3611,-
Biobio,Santa Barbara,14592,-
Biobio,Santa Juana,14779,-
Biobio,Talcahuano,158345,29
Biobio,Tirua,11019,-
Biobio,Tome,58729,9
Biobio,Tucapel,15205,-
Biobio,Yumbel,22132,5
La Araucania,Angol,56058,12
La Araucania,Carahue,25486,-
La Araucania,Cholchol,12341,-
La Araucania,Collipulli,26148,-
La Araucania,Cunco,18055,-
La Araucania,Curacautin,18178,-
La Araucania,Curarrehue,7802,-
La Araucania,Ercilla,8458,-
La Araucania,Freire,25446,5
La Araucania,Galvarino,12633,-
La Araucania,Gorbea,15148,7
La Araucania,Lautaro,40746,10
La Araucania,Loncoche,24739,4
La Araucania,Lonquimay,11049,-
La Araucania,Los Sauces,7517,-
La Araucania,Lumaco,10050,-
La Araucania,Melipeuco,6265,-
La Araucania,Nueva Imperial,33777,11
La Araucania,Padre Las Casas,82110,33
La Araucania,Perquenco,7223,-
La Araucania,Pitrufquen,26096,7
La Araucania,Pucon,29782,-
La Araucania,Puren,12188,-
La Araucania,Renaico,10833,-
La Araucania,Saavedra,12793,-
La Araucania,Temuco,302931,293
La Araucania,Teodoro Schmidt,15786,-
La Araucania,Tolten,10055,4
La Araucania,Traiguen,19314,-
La Araucania,Victoria,35467,11
La Araucania,Vilcun,30766,11
La Araucania,Villarrica,59103,6
Los Rios,Corral,5447,-
Los Rios,Futrono,15261,-
Los Rios,La Union,39538,10
Los Rios,Lago Ranco,10292,-
Los Rios,Lanco,17652,-
Los Rios,Los Lagos,20518,-
Los Rios,Mafil,7389,-
Los Rios,Mariquina,23250,-
Los Rios,Paillaco,20798,-
Los Rios,Panguipulli,35991,-
Los Rios,Rio Bueno,32925,-
Los Rios,Valdivia,176774,47
Los Lagos,Ancud,42458,-
Los Lagos,Calbuco,36744,5
Los Lagos,Castro,47607,-
Los Lagos,Chaiten,5020,-
Los Lagos,Chonchi,16013,-
Los Lagos,Cochamo,4006,-
Los Lagos,Curaco de Velez,4066,-
Los Lagos,Dalcahue,15069,-
Los Lagos,Fresia,12656,-
Los Lagos,Frutillar,20223,-
Los Lagos,Futaleufu,2806,-
Los Lagos,Hualaihue,9525,-
Los Lagos,Llanquihue,18621,-
Los Lagos,Los Muermos,17817,-
Los Lagos,Maullin,14894,-
Los Lagos,Osorno,173410,163
Los Lagos,Palena,1827,-
Los Lagos,Puerto Montt,269398,25
Los Lagos,Puerto Octay,9192,-
Los Lagos,Puerto Varas,48620,-
Los Lagos,Puqueldon,4201,-
Los Lagos,Purranque,21080,5
Los Lagos,Puyehue,11787,-
Los Lagos,Queilen,5543,-
Los Lagos,Quellon,29309,-
Los Lagos,Quemchi,8783,-
Los Lagos,Quinchao,8298,-
Los Lagos,Rio Negro,14275,-
Los Lagos,San Juan de la Costa,7639,-
Los Lagos,San Pablo,10553,-
Aisen,Aisen,25002,4
Aisen,Chile Chico,5121,-
Aisen,Cisnes,5828,-
Aisen,Cochrane,3685,-
Aisen,Coyhaique,61210,-
Aisen,Guaitecas,1599,-
Aisen,Lago Verde,920,-
Aisen,OHiggins,661,-
Aisen,Rio Ibanez,2699,-
Aisen,Tortel,572,-
Magallanes y la Antartica,Antartica,137,-
Magallanes y la Antartica,Cabo de Hornos,1983,6
Magallanes y la Antartica,Laguna Blanca,264,-
Magallanes y la Antartica,Natales,23782,5
Magallanes y la Antartica,Porvenir,7323,-
Magallanes y la Antartica,Primavera,694,-
Magallanes y la Antartica,Punta Arenas,141984,143
Magallanes y la Antartica,Rio Verde,211,-
Magallanes y la Antartica,San Gregorio,681,-
Magallanes y la Antartica,Timaukel,282,-
Magallanes y la Antartica,Torres del Paine,1021,-
